author,published_at,updated_at,like_count,text
@user-bi2yp2yj3w,2023-12-14T13:08:52Z,2023-12-14T13:08:52Z,0,harusnya mereka angkat senjata ke pada militer myanmar.. hidup terhina / mati secara terhormat.
@ahmadharianto3602,2023-12-14T12:04:30Z,2023-12-14T12:04:30Z,0,Terus galang persatuan wahai rakyat aceh satukan kekuatan kalian TOLAK  pengungsi rohingya gelar demo tolak rohingya sampai mereka semuanya tak ada satupun yg tersisa .awas ada agenda asing yg mencoba bermain diaceh kususnya indonesia umumnya .AWASSS!!!! ADA AGENDA ASING YANG SEDANG DI JALANKAN .USIRRRR TANPA PANDANG BULU.  U S I R R R !!!!!!!!!!!!!!!!!!!!
@jericosarmiento4140,2023-12-14T09:33:56Z,2023-12-14T09:33:56Z,1,them: we support our Muslim brothers in Palestine <br><br>also them: Get out in our homeland Rohingya Muslim
@ForexPipsCollector,2023-12-14T09:32:02Z,2023-12-14T09:32:21Z,1,come on  read the lines . the boat depart from Bangladesh . there were no refugeee only illegal immigrant from Bangladesh. all of them already holder of  UNHCR card for refugees from Bangladesh . how many time must we accept the Rohingya ? being refugees does not made them a right to breach Indonesian border and landed
@rejosarirejosari-cr7wz,2023-12-14T09:28:17Z,2023-12-14T09:28:17Z,0,The history of the arrival of Israel jews to Palistine ast the time became a warning of the Indonesian people and nation.<br>So it is natural that the Indonesian and  people  reject the arrival of Bangladeshi Rohingya illegal immigrant for the sake of the peace of the Indonesian people and nation.<br>Bravo Indonesian people.<br>United to defend the integrity sove reignty the country is fixed peice.
@user-rb6bk8sl6g,2023-12-14T08:25:44Z,2023-12-14T08:25:44Z,0,Makan tidur  gratis lu anjing d negara w.ngentot bkin anak lu ddgn gratis.yg biayain anggaran negara.kontol lu anjjng
@zarinahamzah4158,2023-12-14T08:22:30Z,2023-12-14T08:27:25Z,0,"Rohingya are not refugees but illegal immigrant camouflaging as refugees. Refugees risk their life from  being oppress but rohingya pays Bangladeshi agent to ferry them to their desirable countries with an active handphone and monies .Furthermore their idiotic , stubbornness and harsh attitude couldn&#39;t be accepted by other SEA peoples. As Malaysian we had enough of them and wish all of them will be deported to their country of origin."
@naureenpocoyo6400,2023-12-14T08:16:41Z,2023-12-14T08:16:41Z,0,"The government &amp; the rich people of Indonesia, pls do something to help the soonest. More boats are coming😢. Don&#39;t burden the poor."
@BasselBakr,2023-12-14T08:10:03Z,2023-12-14T08:10:03Z,0,Anyone could end up a refugee one day in another country. Just think about how you would feel if you were rejected because of the actions of a few.
@yuliamadjid,2023-12-14T08:05:40Z,2023-12-14T08:05:40Z,0,Go away Rohingya people forever from Indonesia... They&#39;re not welcome.. 👎👎👎👎
@hendyvanruslan7897,2023-12-14T07:33:23Z,2023-12-14T07:33:23Z,0,No refuges anymore...<br><br>Say no to Rohingya<br>😑😑😑
@SebatasAsumsi,2023-12-14T07:06:25Z,2023-12-14T07:06:25Z,0,"Considering they bad attitude,better if they go back to coxs bazaar."
@cattaboom1136,2023-12-14T06:36:59Z,2023-12-14T06:36:59Z,0,I think Qatar should take care all of them? Right?? Qatar? your muslim brother and sister too?🤪🤣
@User.xyz123,2023-12-14T05:57:17Z,2023-12-14T06:23:03Z,1,Getout UNHCR getout rohingnya from my country indonesia
@nuraisya1391,2023-12-14T05:45:27Z,2023-12-14T05:45:27Z,0,"Mereka datang meminta pulau, dan membuat kekacauan, mereka datan untuk merampok bukan meminta perlindungan."
@Lisa-zm,2023-12-14T05:23:27Z,2023-12-14T05:23:27Z,0,"Dont compare rohingya n palestine, its totally different.."
@yinvirak5256,2023-12-14T05:19:35Z,2023-12-14T05:19:35Z,0,Bring them to Islam country 🙏🙏🙏🙏
@yinvirak5256,2023-12-14T05:14:29Z,2023-12-14T05:14:29Z,0,Aren&#39;t Islamists are brothers and sisters 😂😂😂😂
@dilaruzmacan5464,2023-12-14T05:09:40Z,2023-12-14T05:09:40Z,0,"Maybe the Arabs are ready to accommodate the Rohingya, because sorry, we are not stupid and kind like you, we saw Palestine being colonized by Israel, we don&#39;t want that to happen to us, j"
